the	definite-article,adverb
physically	adverb
profile	noun,verb
proud	adjective,idiom
recording	noun
relate	verb
respect	noun,verb
rice	noun,verb
routine	noun,adjective
sample	noun
schedule	noun,verb
settle	verb
smell	verb,noun
somehow	adverb,idiom
spiritual	adjective,noun
survey	verb,noun
swimming	noun,adjective
telephone	noun,verb
tie	verb,noun,idiom
tip	noun,verb
transportation	noun
unhappy	adjective
wild	adjective,adverb,noun,idiom
winter	noun,adjective,verb
absolutely	adverb,interjection
acceptable	adjective
adult	adjective,noun
aggressive	adjective
airline	noun,adjective
apart	adjective,adverb
assure	verb
attract	verb
bag	noun,verb
battle	noun,verb
bed	noun,verb
bill	noun,verb
boring	adjective
bother	noun,verb
brief	adjective,noun,verb
cake	noun,verb
charity	noun
code	noun,verb
cousin	noun
crazy	adjective,noun,idiom
curve	noun,verb,idiom
designer	noun,adjective
dimension	noun,verb
disaster	noun
distinct	adjective
distribute	verb
dress	noun,adjective,verb
ease	noun,verb
eastern	adjective
editor	noun
efficiency	noun
emergency	noun,adjective
escape	verb,noun,adjective
evening	noun,adjective
excitement	noun
expose	verb,idiom
extension	noun,adjective
extent	noun
farm	noun,verb,idiom
feedback	noun
fight	noun,verb
gap	noun,verb
gather	verb,noun,idiom
grade	noun,verb
guitar	noun
hate	verb,noun
holiday	noun,adjective,verb
homework	noun
horror	noun,adjective
horse	noun,verb,adjective,idiom
host	noun,verb
husband	noun,verb
leader	noun
loan	noun,verb,idiom
logical	adjective
mistake	noun,verb,idiom
mom	noun
mountain	noun,adjective,idiom
nail	noun,verb,idiom
noise	noun,verb
none	pronoun,adverb,adjective
occasion	noun,verb,idiom
outcome	noun
overcome	verb
owe	verb
package	noun,verb
patient	noun,adjective
pause	noun,verb,idiom
permission	noun
phrase	noun,verb
presentation	noun
prior	adjective,noun,idiom
promotion	noun
proof	noun,adjective,verb
race	noun,verb
reasonable	adjective
reflection	noun
refrigerator	noun
relief	noun,idiom
repair	verb,noun
resolution	noun
revenue	noun
rough	adjective,noun,adverb,verb
sad	adjective,noun
sand	noun,verb,idiom
scratch	verb,noun,adjective,idiom
sentence	noun,verb
session	noun
shoulder	noun,verb,idiom
sick	adjective,noun,idiom
singer	noun
smoke	noun,verb,idiom
stomach	noun,verb
strange	adjective,adverb
strict	adjective
strike	verb,noun,adjective,idiom
string	noun,verb,idiom
succeed	verb
successfully	adverb
suddenly	adverb
suffer	verb
surprised	past,verb
tennis	noun
throw	verb
tourist	noun,adverb
towel	noun,verb
truly	adverb
vacation	noun,verb
virtually	adverb
west	noun,adjective,adverb,idiom
wheel	noun,verb,idiom
wine	noun,adjective,verb,idiom
acquire	verb
adapt	verb
adjust	verb
administrative	adjective
altogether	adverb
anyway	adverb
argue	verb
arise	verb
arm	noun,verb
aside	noun,adverb
associate	noun,verb,adjective
automatic	adjective
automatically	adverb
basket	noun
bet	noun,verb
blow	noun,verb
bonus	noun
border	noun,verb
branch	noun,verb
breast	noun,verb
brother	noun,interjection
buddy	noun,verb
bunch	noun,verb
cabinet	noun
childhood	noun
chip	noun,verb
church	noun
civil	adjective
clothes	noun
coach	noun,verb,adverb
coffee	noun
confirm	verb
cross	noun,verb,adjective
deeply	adverb
definitely	adverb
deliberately	adverb
dinner	noun
document	noun,verb
draft	noun,verb,adjective
drawing	noun
dust	noun,verb
employ	verb,noun
encouraging	verb
expert	noun,adjective
external	adjective,noun
floor	noun,verb
former	adjective
god	noun,interjection
golf	noun,verb
habit	noun,verb
hair	noun
hardly	adverb
hearing	noun
hurt	verb,noun
illegal	adjective,noun
incorporate	verb
initiative	noun
iron	noun,verb
judge	noun,verb
judgment	noun
justify	verb
knife	noun,verb
lab	noun
landscape	noun,verb
laugh	verb,noun
lay	verb,noun,adjective
league	noun,verb
loud	adjective,adverb
mail	noun,verb
massive	adjective
measurement	noun
mess	noun,verb
mobile	adjective,noun
mode	noun
mud	noun
nasty	adjective,noun
native	noun,adjective
opening	noun,adjective
orange	noun
ordinary	adjective,noun
organize	verb
ought	verb
parent	noun,verb
pattern	noun,verb
pin	noun,verb
poetry	noun
police	noun
pool	noun,verb
possess	verb
possibility	noun
pound	noun,verb
procedure	noun
queen	noun
ratio	noun
readily	adverb
relation	noun
relieve	verb
request	noun,verb
respond	verb,noun
restaurant	noun
retain	verb
royal	adjective,noun
salary	noun,verb
satisfaction	noun
sector	noun
senior	adjective,noun
shame	noun,verb
shelter	noun,verb
shoe	noun,verb
shut	verb
signature	noun
significance	noun
silver	noun,adjective,verb
somebody	pronoun
song	noun
southern	adjective
split	verb,noun
strain	verb,noun
struggle	verb,noun
super	adjective,adverb,noun
swim	verb,noun
tackle	noun,verb
tank	noun,verb
terribly	adverb
tight	adjective,adverb
tooth	noun
town	noun
train	verb,noun
trust	noun,verb
unfair	adjective
unfortunately	adverb
upper	adjective,noun
vehicle	noun
visible	adjective
volume	noun
wash	verb,noun
waste	verb,adjective,noun
wife	noun
yellow	adjective,noun,verb
yours	pronoun
accident	noun
airport	noun
alive	adjective
angry	adjective
appointment	noun
arrival	noun
assist	noun,verb
assumption	noun
bake	noun,verb
bar	noun,verb,preposition
baseball	noun
bell	noun,verb
bike	noun,verb
blame	noun,verb
boy	noun,interjection
brick	noun,verb
calculate	verb
chair	noun,verb
chapter	noun
closet	noun,verb,adjective
clue	noun,verb
collar	noun,verb
comment	noun,verb
committee	noun
compete	verb
concerning	preposition
conference	noun,verb
consult	verb
conversation	noun
convert	verb,noun
crash	verb,noun,adjective,adverb
database	noun
deliver	verb
dependent	adjective,noun
desperate	adjective
devil	noun,verb
diet	noun,verb
enthusiasm	noun
error	noun
exciting	adjective
explanation	noun
extend	verb
farmer	noun
fear	noun,verb
fold	verb,noun
forth	adverb
friendly	adjective
fuel	noun,verb
funny	adjective,noun
gate	noun
girl	noun
glove	noun,verb
grab	verb,noun
gross	adjective,adverb,verb,noun
hall	noun
herself	pronoun
hide	verb,noun
historian	noun
hospital	noun
ill	adjective,adverb,noun
injury	noun
instruction	noun
investigate	verb
jacket	noun,verb
lucky	adjective
lunch	noun,verb
maintenance	noun
manufacturer	noun
meal	noun
miss	verb,noun
monitor	noun,verb
mortgage	noun,verb
negotiate	verb
nurse	noun,verb
pace	noun,verb,preposition
panic	noun,verb
peak	noun,verb,adjective
perception	noun
permit	verb,noun
pie	noun
plane	noun,adjective,verb
poem	noun
presence	noun
proposal	noun
provided	past,verb
qualify	verb
quote	verb,noun
realistic	adjective
reception	noun
recover	verb,noun
replacement	noun
resolve	verb,noun
retire	verb
revolution	noun
reward	noun,verb
rid	verb
river	noun
roll	verb,noun
row	noun,verb
sandwich	noun,verb
shock	noun,verb
sink	verb,noun
slip	verb,noun
son	noun
sorry	adjective
spare	adjective,noun,verb
speech	noun
spite	noun,verb
spray	noun,verb
surprise	noun,verb
suspect	verb,noun,adjective
sweet	adjective,noun
swing	verb,noun
tea	noun
till	noun,verb
transition	noun,verb
twist	verb,noun
ugly	adjective
unlikely	adjective
upstairs	adjective,noun
usual	adjective,noun
village	noun
warning	noun
weekend	noun,verb
weigh	verb
welcome	noun,interjection,verb,adjective
winner	noun
worker	noun
writer	noun
yard	noun,verb
abroad	adverb,noun
alarm	noun,verb
anxious	adjective
arrive	verb
assistance	noun
attach	verb
behave	verb
bend	noun,verb
bicycle	noun,verb
bite	noun,verb
blind	noun,verb,adjective,adverb
bottle	noun,verb
brave	adjective,noun,verb
breath	noun
briefly	adverb
buyer	noun
cable	noun,verb
calm	adjective,noun,verb
candle	noun,verb
celebrate	verb
chest	noun
chocolate	noun
clerk	noun,verb
cloud	noun,verb
comprehensive	adjective
concentrate	verb,noun
concert	noun,verb
conclusion	noun
contribution	noun
convince	verb
cookie	noun
counter	noun,verb,adverb,adjective
courage	noun
curious	adjective
dad	noun
desk	noun
dirty	adjective,verb
disagree	verb
downtown	adjective,adverb,noun
drawer	noun
establish	verb
establishment	noun
estimate	verb,noun
examination	noun
flower	noun,verb
garbage	noun
grand	adjective,noun
grandfather	noun,verb
grocery	noun
harm	noun,verb
honest	adjective,adverb
honey	noun
ignore	verb
imply	verb
impression	noun
impressive	adjective
improvement	noun
independence	noun
informal	adjective
inner	adjective
insect	noun
insist	verb
inspection	noun
inspector	noun
king	noun
knee	noun,verb
ladder	noun
lawyer	noun,verb
leather	noun,adjective,verb
load	noun,verb
loose	adjective,verb
male	adjective,noun
menu	noun
mine	pronoun,noun,verb
mirror	noun,verb
moreover	adverb
neck	noun,verb
penalty	noun
pension	noun,verb
piano	noun
plate	noun,verb
pleasant	adjective
pleased	past,verb
potato	noun
profession	noun
professor	noun
prompt	verb,noun,adjective
proposed	past,verb
purple	noun,adjective,verb
pursue	verb
quantity	noun
quiet	adjective,noun,verb
reaction	noun
refuse	verb,noun
regret	verb,noun
remaining	verb
requirement	noun
reveal	verb,noun
ruin	noun,verb
rush	verb,noun
salad	noun
sexual	adjective
shake	verb,noun
shift	verb,noun
shine	verb,noun
ship	noun,verb
sister	noun
skirt	noun,verb
slice	noun,verb
snow	noun,verb
specialist	noun,adjective
specify	verb
steal	verb,noun
stroke	noun,verb
strongly	adverb
suck	verb,noun
sudden	adjective
supermarket	noun
surround	verb,noun
switch	noun,verb
terrible	adjective
tired	past,verb
tongue	noun
trash	noun,verb
tune	noun,verb
unable	adjective
warn	verb
weak	adjective
weakness	noun
wedding	noun
wooden	adjective
worried	past,verb
yeah	adverb,interjection
zone	noun,verb
accuse	verb
admire	verb
admit	verb
adopt	verb
affair	noun
ambition	noun
analyst	noun
anger	noun,verb
announce	verb
anybody	pronoun,noun
apologize	verb
apple	noun
approve	verb
asleep	adjective
assignment	noun
assistant	noun
attend	verb
award	noun,verb
bathroom	noun
bear	verb,noun
bedroom	noun
beer	noun
belong	verb
bid	noun,verb
birthday	noun
bitter	noun,adjective
boot	noun,verb
brilliant	adjective,noun
bug	noun,verb
camp	noun,verb,adjective
candy	noun,verb
carpet	noun,verb
cat	noun,verb
celebration	noun
champion	noun,verb
championship	noun
channel	noun,verb
cheek	noun
client	noun
clock	noun,verb
comfort	noun,verb
commit	verb
confident	adjective
conscious	adjective
consequence	noun
cow	noun,verb
crack	noun,verb,adjective
criticize	verb
dare	verb,noun
dear	adjective,noun,adverb,interjection
decent	adjective
delay	verb,noun
departure	noun
deserve	verb
destroy	verb
diamond	noun
dirt	noun
disappointed	past,verb
drunk	adjective,noun
ear	noun
embarrassed	adjective
empty	adjective,verb,noun
engineer	noun,verb
entrance	noun,verb
fault	noun,verb
female	adjective,noun
fortune	noun
friendship	noun
funeral	noun
gene	noun
girlfriend	noun
grass	noun,verb
guilty	adjective
guy	noun,verb
hat	noun
hell	noun,interjection
hesitate	verb
highlight	noun,verb
honestly	adverb
hurry	verb,noun
illustrate	verb
incident	noun,adjective
indication	noun
inevitable	adjective,noun
inform	verb
intention	noun
invite	verb,noun
island	noun,verb
joke	noun,verb
jury	noun,verb,adjective
kiss	verb,noun
lady	noun
leg	noun,verb
lip	noun,verb
lonely	adjective
mad	adjective
manufacturing	verb
marry	verb,interjection
mate	noun,verb
midnight	noun
motor	noun,adjective,verb
neat	adjective,noun
negotiation	noun
nerve	noun,verb
nervous	adjective
nowhere	adverb,pronoun,adjective
obligation	noun
odd	adjective
ok	adjective,adverb,noun,verb
passage	noun,verb
passenger	noun
pen	noun,verb
persuade	verb
pizza	noun
platform	noun
poet	noun
pollution	noun
pop	verb,noun,adverb,adjective
pour	verb
pray	verb,adverb
pretend	verb,adjective
previously	adverb
pride	noun,verb
priest	noun,verb
prize	noun,adjective,verb
promise	noun,verb
propose	verb
punch	verb,noun
quit	verb,noun
recognition	noun
remarkable	adjective
remind	verb
reply	verb,noun
representative	adjective,noun
reputation	noun
resident	noun,adjective
resist	verb,noun
resort	noun,verb
ring	noun,verb
rip	verb,noun
roof	noun,verb
rope	noun,verb
rub	verb,noun
sail	noun,verb
scheme	noun,verb
script	noun,verb
shall	verb
shirt	noun
silly	adjective,noun
sir	noun
slight	adjective,verb,noun
smart	adjective,verb,noun
smile	verb,noun
sock	noun,verb
speaker	noun
spell	verb,noun
station	noun,verb
stranger	noun
stretch	verb,noun
stupid	adjective,noun
submit	verb
substantial	adjective
suppose	verb
surgery	noun
suspicious	adjective
sympathy	noun
tale	noun
tall	adjective
tear	verb,noun
temporary	adjective,noun
throat	noun
tiny	adjective
toe	noun,verb
tomorrow	adverb,noun
tower	noun,verb
trainer	noun
translate	verb
truck	noun,verb
uncle	noun
wake	verb,noun
weekly	adjective,adverb,noun
whoever	pronoun
witness	noun,verb
wrap	verb,noun
yesterday	adverb,noun
youth	noun
